sex,agemos,_hcirc_l,_hcirc_m,_hcirc_s,_weight_l,_weight_m,_weight_s,_height_l,_height_m,_height_s,premature,ageweeks
1,0,4.427825037,35.81366835,0.052172542,1.815151075,3.530203168,0.152385273,1.267004226,49.98888408,0.053112191,0,
1,0.5,4.310927464,37.19361054,0.047259148,1.547523128,4.003106424,0.146025021,0.511237696,52.6959753,0.048692684,0,
1,1.5,3.869576802,39.20742929,0.040947903,1.068795548,4.879525083,0.136478767,-0.45224446,56.62842855,0.04411683,0,
1,2.5,3.305593039,40.65233195,0.037027722,0.695973505,5.672888765,0.129677511,-0.990594599,59.60895343,0.041795583,0,
1,3.5,2.720590297,41.76516959,0.034364245,0.41981509,6.391391982,0.124717085,-1.285837689,62.07700027,0.040454126,0,
1,4.5,2.16804824,42.66116148,0.032462175,0.219866801,7.041836432,0.121040119,-1.43031238,64.2168641,0.039633879,0,
1,5.5,1.675465689,43.40488731,0.031064702,0.077505598,7.630425182,0.1182712,-1.47657547,66.1253149,0.039123813,0,
1,6.5,1.255160322,44.03609923,0.03002267,-0.02190761,8.162951035,0.116153695,-1.456837849,67.8601799,0.038811994,0,
1,7.5,0.91054114,44.58096912,0.029242173,-0.0894409,8.644832479,0.114510349,-1.391898768,69.45908458,0.038633209,0,
1,8.5,0.639510474,45.05761215,0.028660454,-0.1334091,9.081119817,0.113217163,-1.29571459,70.94803912,0.038546833,0,
1,9.5,0.436978864,45.4790756,0.0282336,-0.1600954,9.476500305,0.11218624,-1.177919048,72.34586111,0.038526262,0,
1,10.5,0.296275856,45.85505706,0.027929764,-0.17429685,9.835307701,0.111354536,-1.045326049,73.6666541,0.038553387,0,
1,11.5,0.210107251,46.19295427,0.027725179,-0.1797189,10.16153567,0.110676413,-0.902800887,74.92129717,0.038615501,0,
1,12.5,0.171147024,46.49853438,0.027601686,-0.179254,10.45885399,0.110118635,-0.753908107,76.11837536,0.038703461,0,
1,13.5,0.172393886,46.77637684,0.027545148,-0.17518447,10.7306256,0.109656941,-0.601263523,77.26479911,0.038810557,0,
1,14.5,0.207371541,47.03017599,0.027544382,-0.16932268,10.97992482,0.109273653,-0.446805039,78.36622309,0.038931784,0,
1,15.5,0.270226126,47.2629533,0.027590417,-0.1631139,11.20955529,0.10895596,-0.291974772,79.4273405,0.039063356,0,
1,16.5,0.355757274,47.47720989,0.02767598,-0.15770999,11.4220677,0.108694678,-0.13784767,80.45209492,0.039202382,0,
1,17.5,0.459407627,47.67503833,0.027795115,-0.15402279,11.61977698,0.108483324,0.014776155,81.44383603,0.039346629,0,
1,18.5,0.577227615,47.85820606,0.0279429,-0.15276214,11.80477902,0.108317416,0.165304169,82.40543643,0.039494365,0,
1,19.5,0.705826778,48.02821867,0.028115241,-0.15446658,11.9789663,0.108193944,0.313301809,83.33938063,0.039644238,0,
1,20.5,0.842319055,48.18636864,0.028308707,-0.15952202,12.14404334,0.108110954,0.458455471,84.24783394,0.039795189,0,
1,21.5,0.984266833,48.3337732,0.028520407,-0.16817926,12.30154103,0.108067236,0.600544631,85.13269658,0.039946388,0,
1,22.5,1.129626698,48.47140432,0.028747896,-0.1805668,12.45283028,0.108062078,0.739438953,85.9956488,0.040097181,0,
1,23.5,1.276691223,48.60011223,0.028989089,-0.19670196,12.59913494,0.108095077,0.875000447,86.8381751,0.04024706,0,
1,24.5,1.424084853,48.72064621,0.029242207,-0.21650121,12.74154396,0.108166005,1.00720807,87.66160934,0.040395626,0,
1,25.5,1.570621291,48.83366629,0.029505723,-0.23979048,12.88102276,0.108274705,0.837251351,88.45247282,0.040577525,0,
1,26.5,1.715393998,48.93976089,0.029778323,-0.26631585,13.01842382,0.108421024,0.681492975,89.22326434,0.040723122,0,
1,27.5,1.857652984,49.03945383,0.030058871,-0.29575496,13.1544966,0.108604769,0.538779654,89.97549228,0.040833194,0,
1,28.5,1.996810563,49.13321432,0.030346384,-0.32772936,13.28989667,0.108825681,0.407697153,90.71040853,0.040909059,0,
1,29.5,2.132411346,49.22146409,0.030640006,-0.36181746,13.42519408,0.109083423,0.286762453,91.42907762,0.040952433,0,
